ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
190.97.236.128,999,http,yes,transparent,VE,Venezuela,Maporal,Viginet C.A,AS263703 VIGINET C.A,854,185,99.4,1436,2026-08-20T17:35:33.5199521Z,2026-08-20T17:35:33.5199521Z
72.195.34.60,27391,socks4,no,elite,US,United States,Irvine,Cox Communications,AS22773 Cox Communications Inc.,855,170,99.9,5066,2026-08-20T17:38:15.7265085Z,2026-08-20T17:38:15.7265085Z
72.223.188.92,4145,socks4,no,elite,US,United States,Chicago,Cox Communications Inc.,AS22773 Cox Communications Inc.,855,167,99.9,5065,2026-08-20T17:38:15.7238027Z,2026-08-20T17:38:15.7238027Z
98.181.137.80,4145,socks4,no,elite,US,United States,Henderson,Cox Communications Inc.,AS22773 Cox Communications Inc.,855,170,99.9,5065,2026-08-20T17:35:48.1538679Z,2026-08-20T17:35:48.1538679Z
174.75.211.193,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,855,169,99.9,5065,2026-08-20T17:35:48.1530883Z,2026-08-20T17:35:48.1530883Z
184.178.172.23,4145,socks4,no,elite,US,United States,Roanoke,Cox Communications Inc.,AS22773 Cox Communications Inc.,855,170,99.9,5066,2026-08-20T17:38:15.7266026Z,2026-08-20T17:38:15.7266026Z
212.154.169.90,3128,http,yes,transparent,KZ,Kazakhstan,Astana,LLC ?electronic Commerce Center,AS50482 JSC Kazakhtelecom,855,67,98.8,3040,2026-08-20T17:39:53.2633421Z,2026-08-20T17:39:53.2633421Z
72.223.188.67,4145,socks4,no,elite,US,United States,Chicago,Cox Communications Inc.,AS22773 Cox Communications Inc.,856,169,99.9,5067,2026-08-20T17:38:15.7269859Z,2026-08-20T17:38:15.7269859Z
184.181.217.194,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,856,170,99.7,5010,2026-08-20T17:38:15.7281473Z,2026-08-20T17:38:15.7281473Z
184.181.217.220,4145,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,856,170,99.9,5066,2026-08-20T17:38:15.7272967Z,2026-08-20T17:38:15.7272967Z
70.166.167.55,57745,socks4,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,857,171,99.9,5066,2026-08-20T17:35:48.1560162Z,2026-08-20T17:35:48.1560162Z
72.195.34.58,4145,socks4,no,elite,US,United States,Irvine,Cox Communications,AS22773 Cox Communications Inc.,857,166,99.9,5064,2026-08-20T17:35:48.1514812Z,2026-08-20T17:35:48.1514812Z
