ip,port,protocol,https,anonymity,country_code,country,city,org,asn,response_ms,connect_ms,uptime_pct,checks,last_checked,last_alive
174.75.211.222,4145,socks5,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,1044,168,100,259,2026-08-03T19:13:20.6239332Z,2026-08-03T19:13:20.6239332Z
67.201.33.10,25283,socks4,no,elite,US,United States,El Segundo,Total server solutions,AS46562 Performive LLC,1046,204,98.5,260,2026-08-03T19:11:16.3162350Z,2026-08-03T19:11:16.3162350Z
68.71.242.118,4145,socks4,no,elite,US,United States,Beverly Hills,ZeroLag Communications,AS46562 Performive LLC,1050,1238,99.6,260,2026-08-03T19:11:15.3662920Z,2026-08-03T19:11:15.3662920Z
143.42.66.91,80,http,no,elite,SG,Singapore,Singapore,Viewqwest Pte Ltd,AS18106 Viewqwest Pte Ltd,1051,254,98.1,262,2026-08-03T19:14:19.8810223Z,2026-08-03T19:14:19.8810223Z
199.102.104.70,4145,socks4,no,elite,US,United States,Beverly Hills,ZeroLag Communications,AS46562 Performive LLC,1053,212,99.2,260,2026-08-03T19:11:14.3424998Z,2026-08-03T19:11:14.3424998Z
8.209.255.13,3128,http,no,transparent,JP,Japan,Tokyo,Alibaba.com Singapore E-Commerce Private Limited,"AS45102 Alibaba (US) Technology Co., Ltd.",1055,269,99.6,260,2026-08-03T19:13:20.3953237Z,2026-08-03T19:13:20.3953237Z
216.68.128.121,4145,socks4,no,elite,US,United States,Cincinnati,Fuse Internet Access,AS6181 Cincinnati Bell Telephone Company LLC,1057,198,100,259,2026-08-03T19:13:20.3265612Z,2026-08-03T19:13:20.3265612Z
98.175.31.222,4145,socks5,no,elite,US,United States,Norfolk,Cox Communications Inc,AS22773 Cox Communications Inc.,1060,174,100,259,2026-08-03T19:13:27.7159083Z,2026-08-03T19:13:27.7159083Z
199.102.106.94,4145,socks4,no,elite,US,United States,Beverly Hills,ZeroLag Communications,AS46562 Performive LLC,1063,1235,99.6,260,2026-08-03T19:11:15.3759188Z,2026-08-03T19:11:15.3759188Z
174.64.199.79,4145,socks5,no,elite,US,United States,Lafayette,Cox Communications Inc.,AS22773 Cox Communications Inc.,1064,171,99.6,260,2026-08-03T19:13:27.7168425Z,2026-08-03T19:13:27.7168425Z
111.79.111.126,3128,http,yes,transparent,CN,China,Hangzhou,Chinanet JX,AS149837 China Telecom,1069,192,73.5,257,2026-08-03T19:13:44.2810433Z,2026-08-03T19:13:44.2810433Z
62.146.233.116,8881,http,no,elite,SG,Singapore,Singapore,BasicBrix Cloud Pte Ltd,AS64010 BasicBrix LLP,1070,168,71.2,156,2026-08-03T19:14:04.7563822Z,2026-08-03T19:14:04.7563822Z
72.207.113.97,4145,socks5,no,elite,US,United States,Pensacola,Cox Communications,AS22773 Cox Communications Inc.,1073,170,100,259,2026-08-03T19:13:27.7264955Z,2026-08-03T19:13:27.7264955Z
24.249.199.12,4145,socks5,no,elite,US,United States,El Cajon,Cox Communications,AS22773 Cox Communications Inc.,1076,182,99.6,260,2026-08-03T19:15:37.9957830Z,2026-08-03T19:15:37.9957830Z
72.214.108.67,4145,socks5,no,elite,US,United States,East Irvine,Intelenet Communications,AS22773 Cox Communications Inc.,1076,170,100,259,2026-08-03T19:13:27.7290461Z,2026-08-03T19:13:27.7290461Z
72.195.114.184,4145,socks5,no,elite,US,United States,Irvine,Cox Communications,AS22773 Cox Communications Inc.,1081,167,99.6,259,2026-08-03T19:13:22.6478617Z,2026-08-03T19:13:22.6478617Z
64.118.147.245,20000,http,yes,elite,IT,Italy,Rome,3xK Tech GmbH,AS200373 3xK Tech GmbH,1086,266,97.3,262,2026-08-03T19:13:39.2857792Z,2026-08-03T19:13:39.2857792Z
67.201.35.145,4145,socks5,no,elite,US,United States,El Segundo,Total server solutions,AS46562 Performive LLC,1088,204,100,259,2026-08-03T19:13:20.3592893Z,2026-08-03T19:13:20.3592893Z
68.71.245.206,4145,socks5,no,elite,US,United States,Santa Ana,RPCD,AS46562 Performive LLC,1096,210,100,259,2026-08-03T19:13:20.3758420Z,2026-08-03T19:13:20.3758420Z
111.74.1.65,13382,http,yes,elite,CN,China,Taohua,Chinanet JX,AS4134 CHINANET BACKBONE,1100,234,88.3,256,2026-08-03T19:14:17.0305770Z,2026-08-03T19:14:17.0305770Z
199.102.107.145,4145,socks5,no,elite,US,United States,Beverly Hills,ZeroLag Communications,AS46562 Performive LLC,1103,210,99.2,259,2026-08-03T19:13:20.3809728Z,2026-08-03T19:13:20.3809728Z
64.227.174.134,9090,http,yes,elite,IN,India,Bengaluru,"DigitalOcean, LLC","AS14061 DigitalOcean, LLC",1108,1174,23.5,34,2026-08-03T19:14:39.9279753Z,2026-08-03T19:14:39.9279753Z
